name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
Homunculus Horde,"Whenever you draw your second card each turn, create a token that's a copy of this creature.",{3}{U},Creature — Homunculus,rare,4649,0.551,FDN
Icewind Elemental,"Flying
When this creature enters, draw a card, then discard a card.",{4}{U},Creature — Elemental,common,43773,0.565,FDN
Inspiration from Beyond,"Mill three cards, then return an instant or sorcery card from your graveyard to your hand.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{2}{U},Sorcery,uncommon,4548,0.54,FDN
"Kaito, Cunning Infiltrator","Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
[+1]: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
[−2]: Create a 2/1 blue Ninja creature token.
[−9]: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",{1}{U}{U},Legendary Planeswalker — Kaito,mythic,3735,0.606,FDN
"Kiora, the Rising Tide","When Kiora enters, draw two cards, then discard two cards.
Threshold — Whenever Kiora attacks, if there are seven or more cards in your graveyard, you may create Scion of the Deep, a legendary 8/8 blue Octopus creature token.",{2}{U},Legendary Creature — Merfolk Noble,rare,7785,0.632,FDN
Lunar Insight,Draw a card for each different mana value among nonland permanents you control.,{2}{U},Sorcery,rare,965,0.534,FDN
Mischievous Mystic,"Flying
Whenever you draw your second card each turn, create a 1/1 blue Faerie creature token with flying.",{1}{U},Creature — Human Wizard,uncommon,33541,0.638,FDN
Refute,"Counter target spell. Draw a card, then discard a card.",{1}{U}{U},Instant,common,95648,0.601,FDN
Rune-Sealed Wall,"Defender
{T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{2}{U},Artifact Creature — Wall,uncommon,12719,0.527,FDN
Skyship Buccaneer,"Flying
Raid — When this creature enters, if you attacked this turn, draw a card.",{3}{U}{U},Creature — Human Pirate,uncommon,21424,0.595,FDN
Sphinx of Forgotten Lore,"Flash (You may cast this spell any time you could cast an instant.)
Flying
Whenever this creature attacks, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to that card's mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",{2}{U}{U},Creature — Sphinx,mythic,3366,0.611,FDN
Strix Lookout,"Flying, vigilance (Attacking doesn't cause this creature to tap.)
{1}{U}, {T}: Draw a card, then discard a card.",{1}{U},Creature — Bird,common,93230,0.576,FDN
Uncharted Voyage,"Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{3}{U},Instant,common,27587,0.602,FDN
Abyssal Harvester,"{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.",{1}{B}{B},Creature — Demon Warlock,rare,5002,0.592,FDN
Arbiter of Woe,"As an additional cost to cast this spell, sacrifice a creature.
Flying
When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life.",{4}{B}{B},Creature — Demon,uncommon,22137,0.611,FDN
Billowing Shriekmass,"Flying
When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard.",{3}{B},Creature — Spirit,uncommon,14121,0.568,FDN
Blasphemous Edict,"You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield.
Each player sacrifices thirteen creatures of their choice.",{3}{B}{B},Sorcery,rare,5360,0.605,FDN
Bloodthirsty Conqueror,"Flying, deathtouch
Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)",{3}{B}{B},Creature — Vampire Knight,mythic,3973,0.632,FDN
Crypt Feaster,"Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.",{3}{B},Creature — Zombie,common,5347,0.514,FDN
Gutless Plunderer,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard.",{2}{B},Creature — Skeleton Pirate,common,53224,0.571,FDN
High-Society Hunter,"Flying
Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature.
Whenever another nontoken creature dies, draw a card.",{3}{B}{B},Creature — Vampire Noble,rare,6893,0.608,FDN
Hungry Ghoul,"{1}, Sacrifice another creature: Put a +1/+1 counter on this creature.",{1}{B},Creature — Zombie,common,51949,0.58,FDN
Infernal Vessel,"When this creature dies, if it wasn't a Demon, return it to the battlefield under its owner's control with two +1/+1 counters on it. It's a Demon in addition to its other types.",{2}{B},Creature — Human Cleric,uncommon,23462,0.602,FDN
Infestation Sage,"When this creature dies, create a 1/1 black and green Insect creature token with flying.",{B},Creature — Elf Warlock,common,57378,0.588,FDN
Midnight Snack,"Raid — At the beginning of your end step, if you attacked this turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}{B}, Sacrifice this enchantment: Target opponent loses X life, where X is the amount of life you gained this turn.",{2}{B},Enchantment,uncommon,3689,0.506,FDN
Nine-Lives Familiar,"This creature enters with eight revival counters on it if you cast it.
When this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step.",{1}{B}{B},Creature — Cat,rare,2547,0.536,FDN
Revenge of the Rats,"Create a tapped 1/1 black Rat creature token for each creature card in your graveyard.
Flashback {2}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{2}{B}{B},Sorcery,uncommon,4106,0.529,FDN
Sanguine Syphoner,"Whenever this creature attacks, each opponent loses 1 life and you gain 1 life.",{1}{B},Creature — Vampire Warlock,common,36832,0.559,FDN
Seeker's Folly,"Choose one —
• Target opponent discards two cards.
• Creatures your opponents control get -1/-1 until end of turn.",{2}{B},Sorcery,uncommon,19550,0.58,FDN
Soul-Shackled Zombie,"When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life.",{3}{B},Creature — Zombie,common,46175,0.585,FDN
Stab,Target creature gets -2/-2 until end of turn.,{B},Instant,common,60279,0.608,FDN
"Tinybones, Bauble Burglar","Whenever an opponent discards a card, exile it from their graveyard with a stash counter on it.
During your turn, you may play cards you don't own with stash counters on them from exile, and mana of any type can be spent to cast those spells.
{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery.",{1}{B},Legendary Creature — Skeleton Rogue,rare,4771,0.605,FDN
Tragic Banshee,"Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 until end of turn instead.",{4}{B},Creature — Spirit,uncommon,23326,0.608,FDN
Vampire Gourmand,"Whenever this creature attacks, you may sacrifice another creature. If you do, draw a card and this creature can't be blocked this turn.",{1}{B},Creature — Vampire,uncommon,20223,0.616,FDN
Vampire Soulcaller,"Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand.",{4}{B},Creature — Vampire Warlock,common,35254,0.564,FDN
Vengeful Bloodwitch,"Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.",{1}{B},Creature — Vampire Warlock,uncommon,14279,0.569,FDN
"Zul Ashur, Lich Lord","Ward—Pay 2 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)
{T}: You may cast target Zombie creature card from your graveyard this turn.",{1}{B},Legendary Creature — Zombie Warlock,rare,1846,0.593,FDN
Battlesong Berserker,"Whenever you attack, target creature you control gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",{3}{R},Creature — Human Berserker,uncommon,6924,0.594,FDN
Boltwave,Boltwave deals 3 damage to each opponent.,{R},Sorcery,uncommon,2739,0.474,FDN
Bulk Up,"Double target creature's power until end of turn.
Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{R},Instant,uncommon,2939,0.514,FDN
"Chandra, Flameshaper","[+2]: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
[+1]: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
[−4]: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",{5}{R}{R},Legendary Planeswalker — Chandra,mythic,2552,0.663,FDN
Courageous Goblin,"Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",{1}{R},Creature — Goblin,common,9259,0.567,FDN
Crackling Cyclops,"Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.",{2}{R},Creature — Cyclops Wizard,common,3142,0.49,FDN
Dragon Trainer,"When this creature enters, create a 4/4 red Dragon creature token with flying.",{3}{R}{R},Creature — Human,uncommon,10739,0.578,FDN
Fiery Annihilation,"Fiery Annihilation deals 5 damage to target creature. Exile up to one target Equipment attached to that creature. If that creature would die this turn, exile it instead.",{2}{R},Instant,uncommon,11674,0.61,FDN
Goblin Boarders,Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.,{2}{R},Creature — Goblin Pirate,common,22048,0.557,FDN
Goblin Negotiation,Goblin Negotiation deals X damage to target creature. Create a number of 1/1 red Goblin creature tokens equal to the amount of excess damage dealt to that creature this way.,{X}{R}{R},Sorcery,uncommon,4885,0.54,FDN
Gorehorn Raider,"Raid — When this creature enters, if you attacked this turn, this creature deals 2 damage to any target.",{4}{R},Creature — Minotaur Pirate,common,12593,0.592,FDN
Incinerating Blast,"Incinerating Blast deals 6 damage to target creature.
You may discard a card. If you do, draw a card.",{4}{R},Sorcery,common,13571,0.534,FDN
"Kellan, Planar Trailblazer","{1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains ""Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this turn.""
{2}{R}: If Kellan is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike.",{R},Legendary Creature — Human Faerie Scout,rare,3372,0.604,FDN
Rite of the Dragoncaller,"Whenever you cast an instant or sorcery spell, create a 5/5 red Dragon creature token with flying.",{4}{R}{R},Enchantment,mythic,1611,0.487,FDN
Searslicer Goblin,"Raid — At the beginning of your end step, if you attacked this turn, create a 1/1 red Goblin creature token.",{1}{R},Creature — Goblin Warrior,rare,3575,0.618,FDN
Slumbering Cerberus,"This creature doesn't untap during your untap step.
Morbid — At the beginning of each end step, if a creature died this turn, untap this creature.",{1}{R},Creature — Dog,uncommon,5383,0.599,FDN
Sower of Chaos,{2}{R}: Target creature can't block this turn.,{3}{R},Creature — Devil,common,8444,0.559,FDN
Strongbox Raider,"Raid — When this creature enters, if you attacked this turn, exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.",{2}{R}{R},Creature — Orc Pirate,uncommon,7402,0.581,FDN
Twinflame Tyrant,"Flying
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead.",{3}{R}{R},Creature — Dragon,mythic,2510,0.625,FDN
Ambush Wolf,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard.",{2}{G},Creature — Wolf,common,42696,0.576,FDN
Apothecary Stomper,"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life.",{4}{G}{G},Creature — Elephant,common,17614,0.546,FDN
Beast-Kin Ranger,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn.",{2}{G},Creature — Elf Ranger,common,38556,0.581,FDN
Cackling Prowler,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",{3}{G},Creature — Hyena Rogue,common,33096,0.565,FDN
Eager Trufflesnout,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",{2}{G},Creature — Boar,uncommon,12899,0.587,FDN
Elfsworn Giant,"Reach (This creature can block creatures with flying.)
Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token.",{3}{G}{G},Creature — Giant,common,28593,0.545,FDN
Elvish Regrower,"When this creature enters, return target permanent card from your graveyard to your hand.",{2}{G}{G},Creature — Elf Druid,uncommon,14670,0.593,FDN
Felling Blow,Put a +1/+1 counter on target creature you control. Then that creature deals damage equal to its power to target creature an opponent controls.,{2}{G},Sorcery,uncommon,15065,0.615,FDN
"Loot, Exuberant Explorer","You may play an additional land on each of your turns.
{4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order.",{2}{G},Legendary Creature — Beast Noble,rare,3742,0.574,FDN
Mossborn Hydra,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
This creature enters with a +1/+1 counter on it.
Landfall — Whenever a land you control enters, double the number of +1/+1 counters on this creature.",{2}{G},Creature — Elemental Hydra,rare,4252,0.586,FDN
Needletooth Pack,"Morbid — At the beginning of your end step, if a creature died this turn, put two +1/+1 counters on target creature you control.",{3}{G}{G},Creature — Dinosaur,uncommon,9162,0.559,FDN
Preposterous Proportions,Creatures you control get +10/+10 and gain vigilance until end of turn.,{5}{G}{G},Sorcery,rare,937,0.556,FDN
Quakestrider Ceratops,,{3}{G}{G}{G},Creature — Dinosaur,uncommon,7528,0.537,FDN
Quilled Greatwurm,"Trample
Whenever a creature you control deals combat damage during your turn, put that many +1/+1 counters on it. (It must survive to get the counters.)
You may cast this card from your graveyard by removing six counters from among creatures you control in addition to paying its other costs.",{4}{G}{G},Creature — Wurm,mythic,2747,0.586,FDN
Spinner of Souls,"Reach
Whenever another nontoken creature you control dies, you may reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.",{2}{G},Creature — Spider Spirit,rare,5217,0.646,FDN
Sylvan Scavenging,"At the beginning of your end step, choose one —
• Put a +1/+1 counter on target creature you control.
• Create a 3/3 green Raccoon creature token if you control a creature with power 4 or greater.",{1}{G}{G},Enchantment,rare,5150,0.65,FDN
Treetop Snarespinner,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.",{3}{G},Creature — Spider,common,45806,0.572,FDN
"Alesha, Who Laughs at Fate","First strike
Whenever Alesha attacks, put a +1/+1 counter on it.
Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.",{1}{B}{R},Legendary Creature — Human Warrior,rare,4485,0.641,FDN
Anthem of Champions,Creatures you control get +1/+1.,{G}{W},Enchantment,rare,2008,0.566,FDN
Ashroot Animist,"Trample
Whenever this creature attacks, another target creature you control gains trample and gets +X/+X until end of turn, where X is this creature's power.",{2}{R}{G},Creature — Lizard Druid,rare,2768,0.602,FDN
Dreadwing Scavenger,"Flying
Whenever this creature enters or attacks, draw a card, then discard a card.
Threshold — This creature gets +1/+1 and has deathtouch as long as there are seven or more cards in your graveyard.",{1}{U}{B},Creature — Nightmare Bird,uncommon,32371,0.641,FDN
"Elenda, Saint of Dusk","Lifelink, hexproof from instants
As long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total.",{2}{W}{B},Legendary Creature — Vampire Knight,rare,5087,0.63,FDN
Fiendish Panda,"Whenever you gain life, put a +1/+1 counter on this creature.
When this creature dies, return another target non-Bear creature card with mana value less than or equal to this creature's power from your graveyard to the battlefield.",{2}{W}{B},Creature — Bear Demon,uncommon,11231,0.556,FDN
"Koma, World-Eater","This spell can't be countered.
Trample, ward {4}
Whenever Koma deals combat damage to a player, create four 3/3 blue Serpent creature tokens named Koma's Coil.",{3}{G}{G}{U}{U},Legendary Creature — Serpent,rare,5467,0.615,FDN
"Kykar, Zephyr Awakener","Flying
Whenever you cast a noncreature spell, choose one —
• Exile another target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
• Create a 1/1 white Spirit creature token with flying.",{2}{W}{U},Legendary Creature — Bird Wizard,rare,4704,0.598,FDN
"Niv-Mizzet, Visionary","Flying
You have no maximum hand size.
Whenever a source you control deals noncombat damage to an opponent, you draw that many cards.",{4}{U}{R},Legendary Creature — Dragon Wizard,mythic,1273,0.474,FDN
Perforating Artist,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — At the beginning of your end step, if you attacked this turn, each opponent loses 3 life unless that player sacrifices a nonland permanent of their choice or discards a card.",{1}{B}{R},Creature — Devil,uncommon,12342,0.61,FDN
Wardens of the Cycle,"Morbid — At the beginning of your end step, if a creature died this turn, choose one —
• You gain 2 life.
• You draw a card and you lose 1 life.",{1}{B}{G}{G},Creature — Elf Warlock,uncommon,10855,0.546,FDN
"Zimone, Paradox Sculptor","At the beginning of combat on your turn, put a +1/+1 counter on each of up to two target creatures you control.
{G}{U}, {T}: Double the number of each kind of counter on up to two target creatures and/or artifacts you control.",{2}{G}{U},Legendary Creature — Human Wizard,mythic,3522,0.638,FDN
Banner of Kinship,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",{5},Artifact,rare,1132,0.466,FDN
Fishing Pole,"Equipped creature has ""{1}, {T}, Tap Fishing Pole: Put a bait counter on Fishing Pole.""
Whenever equipped creature becomes untapped, remove a bait counter from this Equipment. If you do, create a 1/1 blue Fish creature token.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",{1},Artifact — Equipment,uncommon,887,0.433,FDN
Leyline Axe,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Equipped creature gets +1/+1 and has double strike and trample.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",{4},Artifact — Equipment,rare,8659,0.634,FDN
Quick-Draw Katana,"During your turn, equipped creature gets +2/+0 and has first strike. (It deals combat damage before creatures without first strike.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",{2},Artifact — Equipment,common,7114,0.524,FDN
Ravenous Amulet,"{1}, {T}, Sacrifice a creature: Draw a card and put a soul counter on this artifact. Activate only as a sorcery.
{4}, {T}, Sacrifice this artifact: Each opponent loses life equal to the number of soul counters on this artifact.",{2},Artifact,uncommon,5957,0.527,FDN
Scrawling Crawler,"At the beginning of your upkeep, each player draws a card.
Whenever an opponent draws a card, that player loses 1 life.",{3},Artifact Creature — Phyrexian Construct,rare,7180,0.613,FDN
Soulstone Sanctuary,"{T}: Add {C}.
{4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.",,Land,rare,2942,0.588,FDN
"Ajani, Caller of the Pride","[+1]: Put a +1/+1 counter on up to one target creature.
[−3]: Target creature gains flying and double strike until end of turn.
[−8]: Create X 2/2 white Cat creature tokens, where X is your life total.",{1}{W}{W},Legendary Planeswalker — Ajani,mythic,2793,0.577,FDN
Ajani's Pridemate,"Whenever you gain life, put a +1/+1 counter on this creature.",{1}{W},Creature — Cat Soldier,uncommon,11966,0.561,FDN
Angel of Finality,"Flying
When this creature enters, exile target player's graveyard.",{3}{W},Creature — Angel,uncommon,12341,0.571,FDN
Authority of the Consuls,"Creatures your opponents control enter tapped.
Whenever a creature an opponent controls enters, you gain 1 life.",{W},Enchantment,rare,1861,0.509,FDN
Banishing Light,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",{2}{W},Enchantment,common,34012,0.579,FDN
Cathar Commando,"Flash
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",{1}{W},Creature — Human Soldier,common,18931,0.564,FDN
Day of Judgment,Destroy all creatures.,{2}{W}{W},Sorcery,rare,4445,0.597,FDN
"Giada, Font of Hope","Flying, vigilance
Each other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.
{T}: Add {W}. Spend this mana only to cast an Angel spell.",{1}{W},Legendary Creature — Angel,rare,4407,0.62,FDN
Healer's Hawk,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",{W},Creature — Bird,common,33730,0.584,FDN
Make Your Move,"Destroy target artifact, enchantment, or creature with power 4 or greater.",{2}{W},Instant,common,26776,0.557,FDN
Mischievous Pup,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, return up to one other target permanent you control to its owner's hand.",{2}{W},Creature — Dog,uncommon,8940,0.526,FDN
Resolute Reinforcements,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, create a 1/1 white Soldier creature token.",{1}{W},Creature — Human Soldier,uncommon,8571,0.536,FDN
Savannah Lions,,{W},Creature — Cat,uncommon,5983,0.545,FDN
Serra Angel,"Flying
Vigilance (Attacking doesn't cause this creature to tap.)",{3}{W}{W},Creature — Angel,uncommon,10889,0.558,FDN
Stroke of Midnight,Destroy target nonland permanent. Its controller creates a 1/1 white Human creature token.,{2}{W},Instant,uncommon,11593,0.526,FDN
Youthful Valkyrie,"Flying
Whenever another Angel you control enters, put a +1/+1 counter on this creature.",{1}{W},Creature — Angel,uncommon,14142,0.558,FDN
Aegis Turtle,,{U},Creature — Turtle,common,6452,0.504,FDN
Aetherize,Return all attacking creatures to their owner's hand.,{3}{U},Instant,uncommon,7612,0.524,FDN
Brineborn Cutthroat,"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on this creature.",{1}{U},Creature — Merfolk Pirate,uncommon,22398,0.575,FDN
Essence Scatter,Counter target creature spell.,{1}{U},Instant,uncommon,26960,0.603,FDN
Extravagant Replication,"At the beginning of your upkeep, create a token that's a copy of another target nonland permanent you control.",{4}{U}{U},Enchantment,rare,3558,0.54,FDN
Fleeting Distraction,"Target creature gets -1/-0 until end of turn.
Draw a card.",{U},Instant,common,61404,0.569,FDN
Imprisoned in the Moon,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",{2}{U},Enchantment — Aura,uncommon,16145,0.534,FDN
Lightshell Duo,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{3}{U},Creature — Rat Otter,common,44218,0.58,FDN
Micromancer,"When this creature enters, you may search your library for an instant or sorcery card with mana value 1, reveal it, put it into your hand, then shuffle.",{3}{U},Creature — Human Wizard,uncommon,20417,0.613,FDN
Mocking Sprite,"Flying
Instant and sorcery spells you cast cost {1} less to cast.",{2}{U},Creature — Faerie Rogue,common,19848,0.525,FDN
An Offer You Can't Refuse,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",{U},Instant,uncommon,1563,0.493,FDN
Run Away Together,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,{1}{U},Instant,common,20456,0.53,FDN
Self-Reflection,"Create a token that's a copy of target creature you control.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{4}{U}{U},Sorcery,uncommon,7088,0.572,FDN
Spectral Sailor,"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card.",{U},Creature — Spirit Pirate,uncommon,26152,0.604,FDN
Think Twice,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{U},Instant,common,96842,0.587,FDN
Time Stop,"End the turn. (Exile all spells and abilities, including this spell. The player whose turn it is discards down to their maximum hand size. Damage heals and ""this turn"" and ""until end of turn"" effects end.)",{4}{U}{U},Instant,rare,1406,0.51,FDN
Tolarian Terror,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",{6}{U},Creature — Serpent,common,29065,0.544,FDN
Witness Protection,"Enchant creature
Enchanted creature loses all abilities and is a green and white Citizen creature with base power and toughness 1/1 named Legitimate Businessperson. (It loses all other colors, card types, creature types, and names.)",{U},Enchantment — Aura,common,47528,0.554,FDN
Bake into a Pie,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",{2}{B}{B},Instant,common,71040,0.605,FDN
Burglar Rat,"When this creature enters, each opponent discards a card.",{1}{B},Creature — Rat,common,63839,0.591,FDN
Diregraf Ghoul,This creature enters tapped.,{B},Creature — Zombie,uncommon,12054,0.573,FDN
Eaten Alive,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",{B},Sorcery,common,44342,0.591,FDN
Exsanguinate,Each opponent loses X life. You gain life equal to the life lost this way.,{X}{B}{B},Sorcery,uncommon,3488,0.505,FDN
Fake Your Own Death,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{1}{B},Instant,common,49368,0.586,FDN
Hero's Downfall,Destroy target creature or planeswalker.,{1}{B}{B},Instant,uncommon,26072,0.594,FDN
"Liliana, Dreadhorde General","Whenever a creature you control dies, draw a card.
[+1]: Create a 2/2 black Zombie creature token.
[−4]: Each player sacrifices two creatures of their choice.
[−9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.",{4}{B}{B},Legendary Planeswalker — Liliana,mythic,4229,0.676,FDN
Macabre Waltz,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",{1}{B},Sorcery,common,21844,0.537,FDN
Marauding Blight-Priest,"Whenever you gain life, each opponent loses 1 life.",{2}{B},Creature — Vampire Cleric,common,25711,0.537,FDN
Painful Quandary,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card.",{3}{B}{B},Enchantment,rare,1594,0.505,FDN
Phyrexian Arena,"At the beginning of your upkeep, you draw a card and you lose 1 life.",{1}{B}{B},Enchantment,rare,3356,0.566,FDN
Pilfer,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.,{1}{B},Sorcery,common,26270,0.57,FDN
Reassembling Skeleton,{1}{B}: Return this card from your graveyard to the battlefield tapped.,{1}{B},Creature — Skeleton Warrior,uncommon,18685,0.546,FDN
Rise of the Dark Realms,Put all creature cards from all graveyards onto the battlefield under your control.,{7}{B}{B},Sorcery,mythic,1499,0.546,FDN
Rune-Scarred Demon,"Flying
When this creature enters, search your library for a card, put it into your hand, then shuffle.",{5}{B}{B},Creature — Demon,rare,4991,0.593,FDN
Stromkirk Bloodthief,"At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on target Vampire you control.",{2}{B},Creature — Vampire Rogue,uncommon,13586,0.552,FDN
Vampire Nighthawk,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",{1}{B}{B},Creature — Vampire Shaman,uncommon,25686,0.61,FDN
Zombify,Return target creature card from your graveyard to the battlefield.,{3}{B},Sorcery,uncommon,11017,0.543,FDN
Abrade,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",{1}{R},Instant,uncommon,12199,0.588,FDN
Axgard Cavalry,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.),{1}{R},Creature — Dwarf Berserker,common,8996,0.543,FDN
Brazen Scourge,Haste (This creature can attack and {T} as soon as it comes under your control.),{1}{R}{R},Creature — Gremlin,uncommon,5962,0.545,FDN
Burst Lightning,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Burst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead.",{R},Instant,common,28185,0.599,FDN
